iter	Passed	Remaining
0	70	70715
1	141	70362
2	205	68160
3	270	67309
4	333	66311
5	399	66207
6	467	66359
7	534	66275
8	599	65997
9	667	66037
10	733	65922
11	797	65661
12	867	65865
13	931	65586
14	996	65431
15	1068	65739
16	1136	65695
17	1199	65412
18	1263	65238
19	1335	65440
20	1394	64992
21	1461	64979
22	1530	64992
23	1596	64927
24	1654	64521
25	1719	64409
26	1786	64395
27	1852	64308
28	1919	64259
29	1985	64207
30	2050	64094
31	2112	63914
32	2180	63901
33	2244	63770
34	2311	63737
35	2379	63710
36	2444	63630
37	2509	63527
38	2573	63402
39	2637	63296
40	2701	63186
41	2760	62966
42	2827	62923
43	2893	62869
44	2967	62985
45	3032	62889
46	3102	62903
47	3165	62784
48	3230	62699
49	3296	62625
50	3360	62532
51	3422	62400
52	3489	62353
53	3553	62248
54	3618	62176
55	3681	62057
56	3744	61946
57	3812	61921
58	3879	61869
59	3942	61771
60	4005	61657
61	4073	61628
62	4136	61528
63	4201	61452
64	4266	61373
65	4326	61228
66	4394	61196
67	4460	61129
68	4524	61051
69	4586	60934
70	4652	60872
71	4718	60821
72	4721	59955
73	4787	59907
74	4854	59874
75	4923	59859
76	4986	59778
77	5052	59723
78	5119	59684
79	5183	59612
80	5249	59555
81	5316	59513
82	5383	59478
83	5447	59402
84	5512	59342
85	5579	59300
86	5638	59171
87	5702	59100
88	5769	59053
89	5835	58998
90	5902	58955
91	5965	58876
92	6031	58820
93	6094	58742
94	6158	58664
95	6220	58576
96	6283	58497
97	6350	58450
98	6417	58403
99	6479	58317
100	6547	58276
101	6614	58230
102	6677	58154
103	6743	58099
104	6811	58056
105	6876	57995
106	6944	57953
107	7009	57896
108	7081	57888
109	7150	57856
110	7213	57776
111	7282	57736
112	7346	57666
113	7411	57603
114	7474	57521
115	7538	57447
116	7601	57371
117	7668	57321
118	7734	57262
119	7800	57201
120	7865	57136
121	7931	57082
122	7996	57014
123	8058	56926
124	8119	56836
125	8185	56778
126	8248	56700
127	8315	56646
128	8379	56581
129	8447	56530
130	8449	56050
131	8512	55978
132	8578	55921
133	8646	55882
134	8713	55828
135	8779	55776
136	8844	55716
137	8848	55273
138	8915	55222
139	8978	55152
140	9043	55095
141	9108	55033
142	9170	54958
143	9232	54881
144	9296	54814
145	9360	54754
146	9428	54709
147	9491	54642
148	9554	54570
149	9619	54509
150	9686	54460
151	9750	54396
152	9813	54328
153	9880	54276
154	9945	54220
155	10008	54151
156	10074	54093
157	10137	54025
158	10201	53958
159	10266	53899
160	10333	53849
161	10402	53812
162	10468	53755
163	10532	53691
164	10596	53625
165	10658	53547
166	10722	53484
167	10786	53420
168	10846	53334
169	10909	53265
170	10973	53198
171	11040	53150
172	11109	53109
173	11179	53068
174	11262	53096
175	11328	53036
176	11392	52971
177	11454	52898
178	11519	52833
179	11589	52798
180	11620	52579
181	11687	52529
182	11749	52453
183	11826	52448
184	11894	52399
185	11959	52338
186	12019	52257
187	12084	52195
188	12148	52128
189	12211	52059
190	12277	52000
191	12340	51933
192	12406	51875
193	12470	51808
194	12535	51751
195	12598	51677
196	12662	51613
197	12723	51535
198	12787	51471
199	12855	51420
200	12919	51355
201	12982	51286
202	13048	51230
203	13109	51153
204	13175	51096
205	13239	51029
206	13303	50963
207	13368	50905
208	13437	50855
209	13502	50794
210	13560	50708
211	13615	50608
212	13678	50541
213	13743	50479
214	13805	50406
215	13870	50345
216	13935	50284
217	14000	50220
218	14066	50164
219	14138	50126
220	14199	50053
221	14265	49992
222	14334	49947
223	14403	49898
224	14468	49836
225	14531	49765
226	14599	49714
227	14663	49651
228	14729	49592
229	14797	49538
230	14859	49468
231	14920	49390
232	14987	49335
233	15054	49279
234	15119	49217
235	15184	49157
236	15255	49114
237	15325	49067
238	15392	49012
239	15463	48969
240	15528	48903
241	15585	48816
242	15644	48737
243	15709	48674
244	15775	48614
245	15843	48559
246	15914	48517
247	15979	48453
248	16045	48394
249	16108	48325
250	16176	48272
251	16244	48218
252	16318	48180
253	16384	48121
254	16450	48060
255	16515	47998
256	16580	47935
257	16646	47873
258	16706	47798
259	16771	47735
260	16832	47659
261	16892	47583
262	16964	47538
263	17031	47481
264	17096	47419
265	17161	47354
266	17231	47306
267	17302	47258
268	17373	47213
269	17445	47168
270	17515	47117
271	17581	47056
272	17647	46995
273	17714	46936
274	17783	46883
275	17846	46815
276	17912	46754
277	17979	46694
278	18042	46624
279	18109	46567
280	18171	46494
281	18239	46438
282	18309	46387
283	18380	46340
284	18450	46287
285	18515	46225
286	18583	46167
287	18651	46110
288	18720	46055
289	18785	45991
290	18851	45930
291	18915	45862
292	18982	45803
293	19046	45738
294	19110	45670
295	19176	45609
296	19248	45560
297	19317	45505
298	19384	45445
299	19451	45387
300	19515	45320
301	19580	45256
302	19647	45196
303	19714	45136
304	19778	45068
305	19844	45006
306	19914	44953
307	19980	44891
308	20047	44830
309	20111	44764
310	20177	44700
311	20242	44638
312	20311	44581
313	20376	44517
314	20446	44462
315	20510	44395
316	20575	44332
317	20636	44258
318	20697	44185
319	20760	44115
320	20825	44052
321	20893	43993
322	20960	43932
323	21025	43867
324	21088	43800
325	21155	43737
326	21224	43681
327	21295	43630
328	21372	43589
329	21440	43531
330	21504	43463
331	21571	43403
332	21637	43338
333	21702	43274
334	21767	43210
335	21831	43143
336	21893	43072
337	21961	43013
338	22026	42947
339	22092	42885
340	22158	42822
341	22223	42757
342	22293	42702
343	22363	42646
344	22431	42588
345	22499	42528
346	22565	42465
347	22627	42393
348	22695	42335
349	22761	42270
350	22826	42205
351	22892	42142
352	22958	42080
353	23023	42014
354	23091	41954
355	23154	41886
356	23225	41831
357	23296	41777
358	23365	41719
359	23437	41666
360	23502	41600
361	23567	41536
362	23632	41471
363	23700	41409
364	23765	41346
365	23830	41279
366	23896	41215
367	23961	41151
368	24026	41086
369	24094	41026
370	24161	40964
371	24231	40906
372	24297	40842
373	24369	40789
374	24434	40724
375	24500	40660
376	24565	40594
377	24632	40532
378	24696	40465
379	24762	40401
380	24828	40338
381	24894	40274
382	24965	40218
383	25028	40149
384	25094	40086
385	25161	40023
386	25228	39960
387	25295	39898
388	25361	39835
389	25429	39773
390	25494	39708
391	25560	39644
392	25620	39571
393	25687	39509
394	25753	39445
395	25818	39379
396	25882	39312
397	25949	39250
398	26016	39187
399	26081	39122
400	26145	39054
401	26212	38992
402	26279	38929
403	26344	38864
404	26412	38804
405	26480	38743
406	26547	38680
407	26614	38616
408	26674	38543
409	26742	38483
410	26808	38419
411	26874	38354
412	26939	38289
413	27000	38217
414	27068	38156
415	27132	38089
416	27193	38019
417	27255	37949
418	27321	37884
419	27388	37822
420	27455	37759
421	27522	37696
422	27583	37626
423	27649	37561
424	27715	37497
425	27782	37434
426	27849	37371
427	27917	37309
428	27982	37245
429	28048	37180
430	28108	37108
431	28174	37044
432	28236	36975
433	28300	36907
434	28366	36844
435	28435	36783
436	28500	36718
437	28566	36653
438	28634	36592
439	28698	36524
440	28764	36461
441	28828	36394
442	28892	36328
443	28956	36260
444	29019	36193
445	29082	36124
446	29148	36060
447	29209	35989
448	29273	35924
449	29341	35861
450	29405	35794
451	29471	35730
452	29535	35663
453	29602	35601
454	29670	35538
455	29733	35471
456	29795	35403
457	29859	35335
458	29926	35273
459	29990	35205
460	30056	35141
461	30122	35078
462	30185	35009
463	30249	34943
464	30316	34880
465	30381	34815
466	30445	34748
467	30514	34687
468	30580	34622
469	30642	34554
470	30707	34488
471	30772	34423
472	30838	34358
473	30905	34295
474	30970	34230
475	31036	34165
476	31105	34105
477	31170	34039
478	31235	33974
